Name,Date,Atoll,Site,Transect,Treatment,Tile,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label code
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1590,1487,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1453,1549,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1427,1248,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1302,1608,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1376,1975,Off
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1286,1646,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1404,1687,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1453,1830,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1425,1750,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1486,2012,Off
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1454,1664,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1425,1738,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1733,322,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,2030,124,Off
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1973,86,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1887,158,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1765,155,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1651,126,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1878,59,_LOBO
